"","State","Year","Political_Party","New_Policies","Renewable_Percent"
"380","MA",2001,"Republican",0,3
"381","MA",2002,"Republican",0,3
"382","MA",2003,"Republican",1,3
"383","MA",2004,"Republican",0,3
"384","MA",2005,"Republican",0,3
"385","MA",2006,"Republican",19,4
"386","MA",2007,"Democrat (2nd Gov. mid-year)",3,4
"387","MA",2008,"Democrat",0,4
"388","MA",2009,"Democrat",5,5
"389","MA",2010,"Democrat",5,5
"390","MA",2011,"Democrat",4,5
"391","MA",2012,"Democrat",1,5
"392","MA",2013,"Democrat",0,5
"393","MA",2014,"Democrat",0,5
"394","MA",2015,"Republican (2nd Gov. mid-year)",2,5
"395","MA",2016,"Republican",1,5
"396","MA",2017,"Republican",1,5
"397","MA",2018,"Republican",0,5
"398","MA",2019,"Republican",1,5
"399","MA",2020,"Republican",1,6
"400","MA",2021,"Republican",11,6
"401","MA",2022,"Republican",2,6
"402","MA",2023,"Republican",7,6
"403","MD",2000,"Democrat",5,3
"404","MD",2001,"Democrat",2,2
"405","MD",2002,"Democrat",1,2
"406","MD",2003,"Republican (2nd Gov. mid-year)",0,2
"407","MD",2004,"Republican",1,2
"408","MD",2005,"Republican",1,2
"409","MD",2006,"Republican",4,3
"410","MD",2007,"Democrat (2nd Gov. mid-year)",2,3
"411","MD",2008,"Democrat",5,3
"412","MD",2009,"Democrat",12,4
"413","MD",2010,"Democrat",6,4
"414","MD",2011,"Democrat",4,5
"415","MD",2012,"Democrat",2,4
"416","MD",2013,"Democrat",0,5
"417","MD",2014,"Democrat",1,5
"418","MD",2015,"Republican (2nd Gov. mid-year)",7,4
"419","MD",2016,"Republican",0,4
"420","MD",2017,"Republican",1,5
"421","MD",2018,"Republican",0,5
"422","MD",2019,"Republican",1,4
"423","MD",2020,"Republican",1,4
"424","MD",2021,"Republican",8,4
"425","MD",2022,"Republican",0,4
"426","MD",2023,"Republican",1,5
"427","ME",2000,"Independent",3,31
"428","ME",2001,"Independent",0,31
"429","ME",2002,"Independent",0,29
"430","ME",2003,"Democrat (2nd Gov. mid-year)",1,27
"431","ME",2004,"Democrat",0,27
"432","ME",2005,"Democrat",1,31
"433","ME",2006,"Democrat",3,31
"434","ME",2007,"Democrat",0,31
"435","ME",2008,"Democrat",0,37
"436","ME",2009,"Democrat",3,32
"437","ME",2010,"Democrat",1,35
"438","ME",2011,"Republican (2nd Gov. mid-year)",1,35
"439","ME",2012,"Republican",1,36
"440","ME",2013,"Republican",1,36
"441","ME",2014,"Republican",0,35
"442","ME",2015,"Republican",0,35
"443","ME",2016,"Republican",0,33
"444","ME",2017,"Republican",0,34
"445","ME",2018,"Republican",1,34
"446","ME",2019,"Republican",0,34
"447","MI",2000,"Republican",1,3
"448","MI",2001,"Republican",1,3
"449","MI",2002,"Republican",0,3
"450","MI",2003,"Democrat (2nd Gov. mid-year)",1,3
"451","MI",2004,"Democrat",1,3
"452","MI",2005,"Democrat",0,4
"453","MI",2006,"Democrat",5,4
"454","MI",2007,"Democrat",2,4
"455","MI",2008,"Democrat",1,5
"456","MI",2009,"Democrat",10,5
"457","MI",2010,"Democrat",11,5
"458","MI",2011,"Republican (2nd Gov. mid-year)",2,6
"459","MI",2012,"Republican",0,6
"460","MI",2013,"Republican",0,6
"461","MI",2014,"Republican",1,7
"462","MI",2015,"Republican",1,7
"463","MI",2016,"Republican",0,7
"464","MI",2017,"Republican",0,7
"465","MI",2018,"Republican",0,7
"466","MI",2019,"Republican",0,7
"467","MN",2000,"Minnesota Independence Party",8,5
"468","MN",2001,"Minnesota Independence Party",3,6
"469","MN",2002,"Minnesota Independence Party",0,5
"470","MN",2003,"Republican (2nd Gov. mid-year)",1,5
"471","MN",2004,"Republican",1,6
"472","MN",2005,"Republican",2,6
"473","MN",2006,"Republican",33,6
"474","MN",2007,"Republican",33,7
"475","MN",2008,"Republican",2,8
"476","MN",2009,"Republican",15,10
"477","MN",2010,"Republican",3,10
"478","MN",2011,"Democratic-Farmer-Labor (2nd Gov. mid-year)",5,11
"479","MN",2012,"Democratic-Farmer-Labor",1,11
"480","MN",2013,"Democratic-Farmer-Labor",1,11
"481","MN",2014,"Democratic-Farmer-Labor",2,11
"482","MN",2015,"Democratic-Farmer-Labor",3,12
"483","MN",2016,"Democratic-Farmer-Labor",1,12
"484","MN",2017,"Democratic-Farmer-Labor",0,12
"485","MN",2018,"Democratic-Farmer-Labor",0,12
"486","MN",2019,"Democratic-Farmer-Labor",3,12
"487","MO",2000,"Democrat",3,1
"488","MO",2001,"Democrat",0,1
"489","MO",2002,"Democrat",0,2
"490","MO",2003,"Democrat",1,2
"491","MO",2004,"Democrat",1,2
"492","MO",2005,"Republican (2nd Gov. mid-year)",0,2
"493","MO",2006,"Republican",7,2
"494","MO",2007,"Republican",7,3
"495","MO",2008,"Republican",8,4
"496","MO",2009,"Democrat (2nd Gov. mid-year)",3,4
"497","MO",2010,"Democrat",9,4
"498","MO",2011,"Democrat",0,4
"499","MO",2012,"Democrat",1,4
"500","MO",2013,"Democrat",1,5
"501","MO",2014,"Democrat",5,5
"502","MO",2015,"Democrat",0,4
"503","MO",2016,"Democrat",4,4
"504","MO",2017,"Republican (2nd Gov. mid-year)",0,5
"505","MO",2018,"Republican",2,5
"506","MO",2019,"Republican",0,5
"507","MO",2020,"Republican",0,5
"508","MO",2021,"Republican",2,5
"509","MO",2022,"Republican",0,6
"510","MO",2023,"Republican",0,5
"511","MS",2000,"Democrat (2nd Gov. mid-year)",1,6
"512","MS",2001,"Democrat",0,5
"513","MS",2002,"Democrat",0,4
"514","MS",2003,"Democrat",0,4
"515","MS",2004,"Republican (2nd Gov. mid-year)",0,5
"516","MS",2005,"Republican",0,5
"517","MS",2006,"Republican",4,5
"518","MS",2007,"Republican",0,5
"519","MS",2008,"Republican",1,4
"520","MS",2009,"Republican",0,5
"521","MS",2010,"Republican",2,6
"522","MS",2011,"Republican",0,7
"523","MS",2012,"Republican",0,8
"524","MS",2013,"Republican",0,7
"525","MS",2014,"Republican",1,7
"526","MS",2015,"Republican",4,7
"527","MS",2016,"Republican",0,7
"528","MS",2017,"Republican",2,7
"529","MS",2018,"Republican",0,6
"530","MS",2019,"Republican",0,6
"531","MS",2020,"Republican",1,6
"532","MT",2000,"Republican",3,13
"533","MT",2001,"Republican",2,10
"534","MT",2002,"Republican",1,13
"535","MT",2003,"Republican",4,12
"536","MT",2004,"Republican",0,12
"537","MT",2005,"Democrat (2nd Gov. mid-year)",2,13
"538","MT",2006,"Democrat",7,13
"539","MT",2007,"Democrat",2,13
"540","MT",2008,"Democrat",0,14
"541","MT",2009,"Democrat",1,13
"542","MT",2010,"Democrat",2,14
"543","MT",2011,"Democrat",0,15
"544","MT",2012,"Democrat",0,14
"545","MT",2013,"Democrat",0,13
"546","MT",2014,"Democrat",0,15
"547","MT",2015,"Democrat",0,16
"548","MT",2016,"Democrat",0,17
"549","MT",2017,"Democrat",0,17
"550","MT",2018,"Democrat",0,18
"551","MT",2019,"Democrat",0,16
"552","MT",2020,"Democrat",0,16
"553","MT",2021,"Democrat",0,15
"554","NC",2000,"Democrat",2,5
"555","NC",2001,"Democrat",0,5
"556","NC",2002,"Democrat",0,4
