"","State","Year","New_Policies"
"128","DE","2022",3
"129","DE","2023",2
"130","DE","2024",1
"131","DE","2025",3
"132","FL","2000",5
"133","FL","2006",8
"134","FL","2007",3
"135","FL","2008",9
"136","FL","2010",5
"137","FL","2011",5
"138","FL","2012",3
"139","FL","2013",3
"140","FL","2018",1
"141","FL","2020",3
"142","FL","2024",5
"143","FL","2025",3
"144","FL","2001",2
"145","FL","2003",1
"146","FL","2009",11
"147","FL","2015",1
"148","FL","2016",6
"149","FL","2021",2
"150","FL","2022",1
"151","GA","2000",1
"152","GA","2001",1
"153","GA","2003",2
"154","GA","2006",12
"155","GA","2008",3
"156","GA","2009",1
"157","GA","2010",1
"158","GA","2011",1
"159","GA","2012",1
"160","GA","2015",1
"161","GA","2018",1
"162","GA","2020",1
"163","GA","2021",3
"164","GA","2022",1
"165","GA","2023",2
"166","GA","2024",5
"167","GU","2008",3
"168","GU","2024",1
"169","HI","2000",5
"170","HI","2001",4
"171","HI","2003",2
"172","HI","2006",5
"173","HI","2008",3
"174","HI","2009",2
"175","HI","2010",2
"176","HI","2011",1
"177","HI","2012",1
"178","HI","2013",1
"179","HI","2021",2
"180","HI","2022",1
"181","HI","2024",1
"182","IA","2000",7
"183","IA","2001",1
"184","IA","2005",1
"185","IA","2003",2
"186","IA","2006",6
"187","IA","2007",1
"188","IA","2008",5
"189","IA","2009",6
"190","IA","2010",5
"191","IA","2011",1
"192","IA","2012",3
"193","IA","2013",1
"194","IA","2021",1
"195","IA","2023",2
"196","IA","2024",2
"197","ID","2000",4
"198","ID","2005",2
"199","ID","2003",1
"200","ID","2006",6
"201","ID","2007",7
"202","ID","2008",1
"203","ID","2009",1
"204","ID","2010",3
"205","ID","2019",1
"206","ID","2021",2
"207","ID","2024",2
"208","IL","2000",5
"209","IL","2001",3
"210","IL","2006",5
"211","IL","2007",7
"212","IL","2008",9
"213","IL","2009",12
"214","IL","2010",7
"215","IL","2011",3
"216","IL","2012",3
"217","IL","2016",1
"218","IL","2021",2
"219","IL","2022",4
"220","IL","2023",5
"221","IL","2024",2
"222","IN","2000",2
"223","IN","2005",1
"224","IN","2004",1
"225","IN","2006",4
"226","IN","2007",18
"227","IN","2008",7
"228","IN","2009",2
"229","IN","2010",4
"230","IN","2011",5
"231","IN","2012",3
"232","IN","2013",1
"233","IN","2015",4
"234","IN","2020",1
"235","IN","2021",3
"236","IN","2023",2
"237","IN","2024",3
"238","KS","2000",2
"239","KS","2006",1
"240","KS","2008",2
"241","KS","2009",4
"242","KS","2014",2
"243","KS","2016",1
"244","KY","2000",1
